"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2004","2004","PER","Persons","0","Units",,,406,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2005","2005","PER","Persons","0","Units",,,404,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2006","2006","PER","Persons","0","Units",,,401,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2007","2007","PER","Persons","0","Units",,,400,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2008","2008","PER","Persons","0","Units",,,399,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2009","2009","PER","Persons","0","Units",,,398,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2010","2010","PER","Persons","0","Units",,,397,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2011","2011","PER","Persons","0","Units",,,396,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2012","2012","PER","Persons","0","Units",,,395,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2013","2013","PER","Persons","0","Units",,,395,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2014","2014","PER","Persons","0","Units",,,395,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2015","2015","PER","Persons","0","Units",,,394,,
"USA26","Cuyahoga","POP_DEN","Population density (pop. per km2)","2016","2016","PER","Persons","0","Units",,,394,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2001","2001","RATIO","Ratio","0","Units",,,19.1,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2002","2002","RATIO","Ratio","0","Units",,,19.2,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2003","2003","RATIO","Ratio","0","Units",,,19.3,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2004","2004","RATIO","Ratio","0","Units",,,19.3,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2005","2005","RATIO","Ratio","0","Units",,,19.4,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2006","2006","RATIO","Ratio","0","Units",,,19.4,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2007","2007","RATIO","Ratio","0","Units",,,19.4,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2008","2008","RATIO","Ratio","0","Units",,,19.6,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2009","2009","RATIO","Ratio","0","Units",,,19.8,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2010","2010","RATIO","Ratio","0","Units",,,19.9,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2011","2011","RATIO","Ratio","0","Units",,,19.9,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2012","2012","RATIO","Ratio","0","Units",,,20,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2013","2013","RATIO","Ratio","0","Units",,,20,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2014","2014","RATIO","Ratio","0","Units",,,20.3,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2015","2015","RATIO","Ratio","0","Units",,,20.4,,
"CZ001","Prague","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2016","2016","RATIO","Ratio","0","Units",,,20.6,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2001","2001","RATIO","Ratio","0","Units",,,4.6,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2002","2002","RATIO","Ratio","0","Units",,,4.6,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2003","2003","RATIO","Ratio","0","Units",,,4.6,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2004","2004","RATIO","Ratio","0","Units",,,4.6,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2005","2005","RATIO","Ratio","0","Units",,,4.6,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2006","2006","RATIO","Ratio","0","Units",,,4.5,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2007","2007","RATIO","Ratio","0","Units",,,4.5,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2008","2008","RATIO","Ratio","0","Units",,,4.5,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2009","2009","RATIO","Ratio","0","Units",,,4.5,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2010","2010","RATIO","Ratio","0","Units",,,4.5,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2011","2011","RATIO","Ratio","0","Units",,,4.4,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2012","2012","RATIO","Ratio","0","Units",,,4.4,,
"BE004","Charleroi","T_T_SH_NAT","Share of population  in metropolitan area over the national value","2013","2013","RATIO","Ratio","0","Units",,,4.4,,
